Cox PH,,Cox PH
vintage,Real Default Rate,Forecast
2013 Q1,0.042052145,0.031958468
2013 Q2,0.04609357,0.037776088
2013 Q3,0.024648755,0.042915977
2013 Q4,0.025412961,0.045357043
Cox PH,,Cox PH
vintage,Real Default Rate,Forecast
2014 Q1,0.026055237,0.042996156
2014 Q2,0.026968716,0.046573694
2014 Q3,0.055788006,0.050003972
2014 Q4,0.058292043,0.048350538
Cox PH,,Cox PH
vintage,Real Default Rate,Forecast
2015 Q1,0.060864273,0.050960964
2015 Q2,0.064329366,0.051802911
2015 Q3,0.067934783,0.050842446
2015 Q4,0.03534818,0.051533287
