Models,Linear DTSM,,Linear DTSM+MEV,,DeepHit,,DeepHit+MEV,,3LSTM,,3LSTM+MEV,
vintage,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square
2016 Q1,0.001971168,0.161479834,0.001882886,0.199034273,0.001980742,0.157407119,0.001377128,0.414179822,0.001432251,0.39073118,0.001240697,0.472216502
2016 Q2,0.001880599,-0.045402089,0.001938767,-0.077736999,0.00187615,-0.042929033,0.001890219,-0.050749715,0.001362187,0.242776657,0.001095953,0.390773022
2016 Q3,0.001700663,0.024859333,0.001646104,0.056142722,0.001701183,0.024561509,0.001190292,0.317500525,0.001015297,0.4178406,0.000900635,0.483586266
2016 Q4,0.002306632,0.052247914,0.00229286,0.057906685,0.002264729,0.069465361,0.001871312,0.231112723,0.001638325,0.326842905,0.001623347,0.332996974
2017 Q1,0.00335723,0.299047506,0.003299053,0.311194064,0.003310149,0.308877408,0.002952088,0.383636597,0.002405387,0.497781662,0.002079216,0.565882698
2017 Q2,0.003473293,0.113988984,0.003430245,0.124970038,0.003407315,0.130819435,0.003012037,0.231651845,0.00262617,0.330083653,0.002126828,0.45746216
2017 Q3,0.003783242,0.086755405,0.003843563,0.072194274,0.003813521,0.079446199,0.003273874,0.209712802,0.002434621,0.412301753,0.002033838,0.509047516
2017 Q4,0.003858454,0.161596543,0.003778353,0.17900152,0.003838356,0.165963576,0.002987902,0.35075868,0.002504455,0.455806974,0.002344221,0.490624069
2018 Q1,0.003733309,0.142931828,0.003866098,0.112447053,0.003782333,0.131677367,0.003343816,0.232349167,0.002536449,0.417699085,0.002458948,0.435491066
2018 Q2,0.004060767,0.074086208,0.003974071,0.093854172,0.00398975,0.09027913,0.002962806,0.324437219,0.002680857,0.388725739,0.002477756,0.4350356
2018 Q3,0.004843229,0.043051153,0.004785264,0.054504105,0.004836202,0.044439503,0.004012947,0.207102248,0.00301468,0.404344685,0.002944882,0.418135795
2018 Q4,0.005565335,-0.021481841,0.005020753,0.078472715,0.005575836,-0.023409292,0.004447557,0.183679285,0.003697002,0.321438805,0.002799762,0.486121458
2019 Q1,0.005205372,0.098828125,0.005177977,0.103570933,0.005656185,0.020781958,0.00414951,0.281622674,0.003889086,0.326708183,0.003153035,0.454135729
2019 Q2,0.005897628,0.101029627,0.005842745,0.109395456,0.005887256,0.102610647,0.004566316,0.303960362,0.004000169,0.390257738,0.003605102,0.450477402
2019 Q3,0.004750363,0.061462261,0.004556201,0.099823069,0.004642545,0.082764065,0.003303028,0.347414778,0.002881965,0.430604907,0.002856513,0.435633612
2019 Q4,0.005073015,0.059488083,0.004849572,0.100913379,0.005034519,0.066624963,0.003617274,0.329375221,0.003208347,0.405188313,0.002886206,0.464911612
2020 Q1,0.005578491,0.100294315,0.005445192,0.121792934,0.005598758,0.097025729,0.004122625,0.335098151,0.003642163,0.412587661,0.003536453,0.429636747
