Models,Linear DTSM,,Linear DTSM+MEV,,DeepHit,,DeepHit+MEV,,3LSTM,,3LSTM+MEV,
vintage,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square
2013 Q3,0.000854913,0.015984402,0.000814473,0.062531656,0.000909941,-0.047353764,0.000812012,0.065363541,0.000361125,0.584340142,0.000350346,0.596747391
2013 Q4,0.001051746,0.281715007,0.001019744,0.303570678,0.00116471,0.204566785,0.001085483,0.25867395,0.000706524,0.517482849,0.000703461,0.519574553
2014 Q1,0.001044827,0.32576841,0.001025697,0.338112663,0.001118035,0.278526409,0.001053094,0.320433131,0.000539571,0.651812542,0.000541368,0.650652654
2014 Q2,0.001907033,0.168987344,0.001976629,0.138659913,0.001879949,0.180789394,0.001634568,0.287716971,0.000814782,0.644948989,0.000740685,0.677237675
2014 Q3,0.001426913,0.179232113,0.001433817,0.175260956,0.001479056,0.149239335,0.001255672,0.277730652,0.000851339,0.510305034,0.000805809,0.536494128
2014 Q4,0.001588005,0.003438213,0.001685426,-0.057698788,0.001626027,-0.020422815,0.001485678,0.067653942,0.001023552,0.357663745,0.001001349,0.371597622
2015 Q1,0.001778646,0.231531278,0.001921609,0.169763685,0.001730357,0.252394707,0.001730459,0.252350617,0.000933343,0.596746555,0.000915459,0.604473398
2015 Q2,0.00153921,0.156395777,0.001711568,0.061930324,0.00147359,0.192360337,0.001334569,0.268554571,0.000969164,0.468824007,0.000944348,0.482425382
2015 Q3,0.001464494,0.136495671,0.001612892,0.048996448,0.001446687,0.146995283,0.00135568,0.200655438,0.00088442,0.478522801,0.000876459,0.483216643
2015 Q4,0.002424814,0.024771108,0.002520574,-0.013742257,0.002303926,0.073390988,0.002185682,0.12094688,0.001227974,0.50612485,0.001208903,0.513794691
,,,,,,,,,,,,
,,,,,,,,,,,,
vintage,LLR_baseline,,,,,,,,,,,
2004 Q1,0.004306851,,,,,,,,,,,
2004 Q2,0.004343117,,,,,,,,,,,
2004 Q3,0.00405565,,,,,,,,,,,
2004 Q4,0.004315105,,,,,,,,,,,
2005 Q1,0.004628693,,,,,,,,,,,
2005 Q2,0.004589772,,,,,,,,,,,
2005 Q3,0.00489286,,,,,,,,,,,
2005 Q4,0.005697415,,,,,,,,,,,
2006 Q1,0.006512319,,,,,,,,,,,
2006 Q2,0.006419427,,,,,,,,,,,
2006 Q3,0.006755912,,,,,,,,,,,
2006 Q4,0.007482584,,,,,,,,,,,
2007 Q1,0.007042766,,,,,,,,,,,
2007 Q2,0.008011996,,,,,,,,,,,
2007 Q3,0.008512617,,,,,,,,,,,
2007 Q4,0.009193724,,,,,,,,,,,
2008 Q1,0.006590877,,,,,,,,,,,
2008 Q2,0.007015629,,,,,,,,,,,
2008 Q3,0.007052195,,,,,,,,,,,
2008 Q4,0.0061642,,,,,,,,,,,
2009 Q1,0.001600432,,,,,,,,,,,
2009 Q2,0.001696123,,,,,,,,,,,
2009 Q3,0.00212343,,,,,,,,,,,
2009 Q4,0.001970795,,,,,,,,,,,
2010 Q1,0.00212529,,,,,,,,,,,
2010 Q2,0.002257602,,,,,,,,,,,
2010 Q3,0.001403334,,,,,,,,,,,
2010 Q4,0.000853019,,,,,,,,,,,
2011 Q1,0.001387195,,,,,,,,,,,
2011 Q2,0.001511426,,,,,,,,,,,
2011 Q3,0.001351397,,,,,,,,,,,
2011 Q4,0.000726925,,,,,,,,,,,
2012 Q1,0.000816331,,,,,,,,,,,
2012 Q2,0.001459356,,,,,,,,,,,
2012 Q3,0.000748503,,,,,,,,,,,
2012 Q4,0.000766131,,,,,,,,,,,
2013 Q1,0.001020477,,,,,,,,,,,
2013 Q2,0.000919085,,,,,,,,,,,
2013 Q3,0.0008688,,,,,,,,,,,
2013 Q4,0.001464246,,,,,,,,,,,
2014 Q1,0.001549655,,,,,,,,,,,
2014 Q2,0.00229483,,,,,,,,,,,
2014 Q3,0.00173851,,,,,,,,,,,
2014 Q4,0.001593484,,,,,,,,,,,
2015 Q1,0.002314533,,,,,,,,,,,
2015 Q2,0.001824564,,,,,,,,,,,
2015 Q3,0.001695989,,,,,,,,,,,
2015 Q4,0.002486405,,,,,,,,,,,
