0.042527222,0.037118875,2.44E-09,0.394728128,0.211418112,0.031158745,2.276194362,3.435588186,2.332432716,3.332432716,2.397254637,2.118623667
0.025268248,0.036432889,2.97E-05,0.007284186,0.004867214,0.256468442,2.32594286,3.945736993,1.983581482,3.334658827,2.483106062,1.263281523
0.022539929,0.006566842,0.000216732,0.043379655,0.046620475,0.034525226,11.93929614,7.848222498,11.9999547,7.97317868,6.437168807,12.6841775
0.026317689,0.039175577,7.37E-08,0.008819377,0.007238866,0.005184445,1.646207354,1.887345582,1.647345502,2.112811145,1.647281957,1.115272469
0.047613667,0.043158244,0.000285167,0.025678796,0.307560032,0.005538733,1.646037285,1.898395536,1.646990819,1.898362869,1.647281957,1.126824769
7.18E-06,0.00282373,0.00025882,0.048851715,0.268888223,0.002187133,0.217359884,1.729341413,1.646358677,1.481478117,0.2758496,2.438746138
0.008747144,0.008545788,8.86E-06,0.044686668,0.047600003,0.0024286,1.688638148,3.684878682,2.000335718,3.215847778,2.426964777,1.483131219
0.000471824,0.000214918,6.28E-11,0.046822183,0.080271703,3.62E-05,1.646502137,1.72689596,1.646027773,1.982229799,0.052157938,0.989856864
0.034559839,0.038381718,7.84E-11,0.048344126,0.118155726,0.000264616,5.916410129,4.268888196,12.29825509,1.531334273,0.449994137,2.117288898
0.00271449,0.005693263,3.46E-05,0.041584216,0.201144063,0.000543463,1.645739148,1.878177995,1.646720507,1.877863289,1.647281957,1.134485786
3.31E-05,3.81E-06,6.32E-19,0.028186533,0.02166574,2.65E-07,1.64723341,3.784661747,2.082992578,2.791568153,1.74729185,1.294996918
3.78E-05,7.55E-05,6.27E-11,0.006941217,0.001655212,0.000382427,1.646241125,1.846883146,1.646686086,1.877945558,0.88610762,0.289585584
5.89E-05,0.000488488,2.88E-10,0.036385588,0.04068185,0.00025524,0.281332877,-1.255225575,2.586280436,2.376882168,0.597241812,2.188127359
5.88E-05,9.13E-05,3.31E-12,0.026342519,0.038673031,2.25E-05,1.646702846,2.781159729,4.339550746,1.625713725,0.332844413,1.531429618
2.71E-05,2.29E-06,3.78E-10,0.009584615,0.000188075,0.003745445,0.563528645,1.193998839,3.149972123,1.558921962,0.285325732,0.486539982
5.86E-10,5.83E-10,2.43E-12,0.000862923,0.001738145,4.42E-06,0.785017842,1.983552343,1.64689043,1.818487538,1.647281957,0.86825922
0.003861882,0.003844474,5.29E-06,0.049931236,0.040847136,0.002476583,0.972572864,1.489571764,1.646002097,1.553241845,0.508297309,1.484876368
0.021485383,0.002896426,3.81E-08,0.049256993,0.14603153,2.47E-07,0.413122434,1.739167263,1.901784643,1.578689219,0.452964674,1.563815689
0.002798518,0.002447798,6.75E-07,0.021167842,0.003305687,0.000827415,0.785234826,1.757498165,2.11093123,2.512757884,1.724922325,0.694998786
