0.000344,0.719,0.00041,0.0175,21,-0.0154,0.682,0.000382,0.0175,21
-0.214,0.776,0.000411,0.0392,7.46,-0.0291,0.77,0.000382,0.0196,23.2
0.119,0.73,0.000405,,,0.0647,0.733,0.000379,,
0.112,0.755,0.000406,0.0178,11.2,0.00025,0.738,0.000377,0.009,31.8
0.14,0.793,0.000405,,,-0.00183,0.729,0.000379,,
0.0329,0.698,0.000407,,,0.0791,0.68,0.000382,,
0.0508,0.875,0.000421,,,-0.0479,0.816,0.000382,,
0.268,0.89,0.000399,,,0.14,0.794,0.000384,,
0.293,0.896,0.000398,0.0137,9.58,0.183,0.823,0.000377,0.0093,27
0.501,0.959,0.000366,,,0.36,0.899,0.000372,,
,,,,,0.0376,0.736,0.000381,,
0.119,0.765,0.000405,0.0191,13.6,0.118,0.729,0.000372,0.0108,35.1
0.229,0.859,0.000403,0.0124,10.8,0.117,0.855,0.000371,0.0125,37.4
0.524,0.964,0.000362,0.0083,9.19,0.406,0.909,0.000364,0.0047,19.8
