Models,Linear DTSM,,GAM,,Cox PH,,Weibull,,DeepHit,,3LSTM,
vintage,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square
2012 Q1,0.000800957,0.018833412,0.000793572,0.027879151,0.000825409,-0.0111208,0.001487563,-0.822254364,0.000732425,0.102783985,0.000541106,0.337148485
2012 Q2,0.001210179,0.170744279,0.001214874,0.167527661,0.001423745,0.024401938,0.001966425,-0.347460978,0.00111394,0.236690687,0.000712825,0.511548233
2012 Q3,0.000621804,0.169269777,0.000620144,0.171486989,0.000840559,-0.122987215,0.001465189,-0.95749234,0.000496754,0.336337091,0.000159601,0.78677261
2012 Q4,0.000801465,-0.046120048,0.000801896,-0.046682594,0.000849875,-0.109307921,0.001488395,-0.94274279,0.000825801,-0.07788507,0.000542949,0.291310266
2013 Q1,0.000993786,0.026155028,0.001062929,-0.041600499,0.001066433,-0.04503364,0.001666921,-0.633472184,0.000966539,0.052855644,0.000653391,0.359720257
2013 Q2,0.000671509,0.269371494,0.000660409,0.281449398,0.000954555,-0.038592536,0.001519614,-0.65339841,0.000562921,0.387519936,0.00027541,0.700342749
2013 Q3,0.000854913,0.015984402,0.00084907,0.022709738,0.000949208,-0.092550894,0.001511235,-0.739451316,0.000909941,-0.047354124,0.000361125,0.584339999
2013 Q4,0.001051746,0.281715007,0.00112037,0.234848289,0.001486616,-0.015277473,0.001935267,-0.321681637,0.00116471,0.204566991,0.000706524,0.517482974
2014 Q1,0.001044827,0.32576841,0.001044348,0.326076805,0.001602537,-0.034124709,0.002005858,-0.29439032,0.001118035,0.278526244,0.000539571,0.651812462
2014 Q2,0.001907033,0.168987344,0.001900134,0.171993603,0.002211378,0.036365159,0.002519027,-0.097696463,0.001879949,0.180789501,0.000814782,0.644949036
2014 Q3,0.001426913,0.179232113,0.001443752,0.169546204,0.001703339,0.020230793,0.002089295,-0.201773392,0.001479056,0.149239501,0.000851339,0.51030513
2014 Q4,0.001588005,0.003438213,0.001753046,-0.100133827,0.001610506,-0.010682222,0.001942313,-0.218909862,0.001626027,-0.020422623,0.001023552,0.357663866
2015 Q1,0.001778646,0.231531278,0.001787143,0.227860231,0.002193408,0.052332169,0.002637806,-0.139670732,0.001730357,0.252394822,0.000933343,0.596746617
2015 Q2,0.00153921,0.156395777,0.00154898,0.151040889,0.001741853,0.045331831,0.002112069,-0.15757469,0.00147359,0.192360463,0.000969164,0.46882409
